x,y,z

1000.000000, 1.260, 0
999.416000, 1.342, 0
997.666000, 1.587, 0
994.753000, 1.994, 0
990.685000, 2.560, 0
985.471000, 3.280, 0
979.123000, 4.152, 0
971.656000, 5.169, 0
963.087000, 6.324, 0
953.437000, 7.611, 0
942.728000, 9.022, 0
930.985000, 10.549, 0
918.235000, 12.182, 0
904.509000, 13.914, 0
889.837000, 15.735, 0
874.255000, 17.635, 0
857.800000, 19.605, 0
840.508000, 21.635, 0
822.421000, 23.714, 0
803.581000, 25.834, 0
784.032000, 27.983, 0
763.820000, 30.152, 0
742.992000, 32.329, 0
721.596000, 34.506, 0
699.682000, 36.670, 0
677.303000, 38.811, 0
654.509000, 40.917, 0
631.354000, 42.978, 0
607.892000, 44.980, 0
584.179000, 46.912, 0
560.268000, 48.762, 0
536.217000, 50.516, 0
512.082000, 52.162, 0
487.918000, 53.687, 0
463.783000, 55.077, 0
439.732000, 56.320, 0
415.822000, 57.403, 0
392.108000, 58.314, 0
368.646000, 59.042, 0
345.492000, 59.575, 0
322.698000, 59.903, 0
300.318000, 60.017, 0
278.404000, 59.910, 0
257.008000, 59.576, 0
236.180000, 59.008, 0
215.968000, 58.205, 0
196.419000, 57.164, 0
177.579000, 55.886, 0
159.492000, 54.372, 0
142.201000, 52.625, 0
125.745000, 50.651, 0
110.163000, 48.457, 0
95.492000, 46.049, 0
81.765000, 43.437, 0
69.015000, 40.631, 0
57.272000, 37.641, 0
46.563000, 34.479, 0
36.913000, 31.156, 0
28.344000, 27.683, 0
20.877000, 24.071, 0
14.529000, 20.330, 0
9.315000, 16.471, 0
5.247000, 12.501, 0
2.334000, 8.429, 0
0.584000, 4.260, 0
0.000000, 0.000, 0
0.584000, -4.260, 0
2.334000, -8.429, 0
5.247000, -12.501, 0
9.315000, -16.471, 0
14.529000, -20.330, 0
20.877000, -24.071, 0
28.344000, -27.683, 0
36.913000, -31.156, 0
46.563000, -34.479, 0
57.272000, -37.641, 0
69.015000, -40.631, 0
81.765000, -43.437, 0
95.492000, -46.049, 0
110.163000, -48.457, 0
125.745000, -50.651, 0
142.201000, -52.625, 0
159.492000, -54.372, 0
177.579000, -55.886, 0
196.419000, -57.164, 0
215.968000, -58.205, 0
236.180000, -59.008, 0
257.008000, -59.576, 0
278.404000, -59.910, 0
300.318000, -60.017, 0
322.698000, -59.903, 0
345.492000, -59.575, 0
368.646000, -59.042, 0
392.108000, -58.314, 0
415.822000, -57.403, 0
439.732000, -56.320, 0
463.783000, -55.077, 0
487.918000, -53.687, 0
512.082000, -52.162, 0
536.217000, -50.516, 0
560.268000, -48.762, 0
584.179000, -46.912, 0
607.892000, -44.980, 0
631.354000, -42.978, 0
654.509000, -40.917, 0
677.303000, -38.811, 0
699.682000, -36.670, 0
721.596000, -34.506, 0
742.992000, -32.329, 0
763.820000, -30.152, 0
784.032000, -27.983, 0
803.581000, -25.834, 0
822.421000, -23.714, 0
840.508000, -21.635, 0
857.800000, -19.605, 0
874.255000, -17.635, 0
889.837000, -15.735, 0
904.509000, -13.914, 0
918.235000, -12.182, 0
930.985000, -10.549, 0
942.728000, -9.022, 0
953.437000, -7.611, 0
963.087000, -6.324, 0
971.656000, -5.169, 0
979.123000, -4.152, 0
985.471000, -3.280, 0
990.685000, -2.560, 0
994.753000, -1.994, 0
997.666000, -1.587, 0
999.416000, -1.342, 0
1000.000000, -1.260, 0
